TIME	SSID	RSSI	CHANNEL	TAG
08:46:47:154	TP-LINK_3G	-38	1	0
08:46:47:154	OpenWrt4310	-61	3	0
08:46:55:156	SWSGP06	-62	7	0
08:46:55:156	TP-LINK_3G	-43	1	0
08:46:55:156	OpenWrt4310	-61	3	0
08:46:56:215	SWSGP06	-66	7	0
08:46:56:215	S3GS_0611	-98	6	0
08:46:56:215	OpenWrt4310	-58	3	0
08:46:56:215	TP-LINK_3G	-59	1	0
08:47:01:165	SWSGP06	-78	7	0
08:47:01:165	S3GS_0611	-99	6	0
08:47:01:165	TP-LINK_3G	-56	1	0
08:47:01:165	OpenWrt4310	-57	3	0
08:47:02:228	SWSGP06	-62	7	0
08:47:02:228	S3GS_0611	-95	6	0
08:47:02:228	TP-LINK_3G	-53	1	0
08:47:02:228	OpenWrt4310	-59	3	0
08:47:03:288	SWSGP06	-60	7	0
08:47:03:288	S3GS_0611	-95	6	0
08:47:03:288	TP-LINK_3G	-53	1	0
08:47:03:288	OpenWrt4310	-62	3	0
08:47:11:156	SWSGP06	-62	7	0
08:47:11:156	S3GS_0611	-97	6	0
08:47:11:156	TP-LINK_3G	-55	1	0
08:47:11:156	OpenWrt4310	-58	3	0
08:47:12:217	SWSGP06	-75	7	0
08:47:12:217	S3GS_0611	-98	6	0
08:47:12:217	OpenWrt4310	-54	3	0
08:47:12:217	TP-LINK_3G	-60	1	0
08:47:19:161	OpenWrt4310	-57	3	0
08:47:19:161	TP-LINK_3G	-63	1	0
08:47:20:220	SWSGP06	-53	7	0
08:47:20:220	S3GS_0611	-95	6	0
08:47:20:220	OpenWrt4310	-55	3	0
08:47:20:220	TP-LINK_3G	-57	1	0
08:47:22:154	SWSGP06	-59	7	0
08:47:22:154	OpenWrt4310	-50	3	0
08:47:22:154	TP-LINK_3G	-55	1	0
08:47:23:212	SWSGP06	-50	7	0
08:47:23:212	S3GS_0611	-95	6	0
08:47:23:212	TP-LINK_3G	-53	1	0
08:47:23:212	OpenWrt4310	-57	3	0
08:47:27:154	SWSGP06	-49	7	0
08:47:27:154	S3GS_0611	-94	6	0
08:47:27:154	TP-LINK_3G	-46	1	0
08:47:27:154	OpenWrt4310	-53	3	0
08:47:35:156	SWSGP06	-52	7	0
08:47:35:156	S3GS_0611	-92	6	0
08:47:35:156	OpenWrt4310	-54	3	0
08:47:35:156	TP-LINK_3G	-55	1	0
08:47:36:230	SWSGP06	-78	7	0
08:47:36:230	S3GS_0611	-95	6	0
08:47:36:230	OpenWrt4310	-47	3	0
08:47:36:230	TP-LINK_3G	-56	1	0
08:47:43:161	SWSGP06	-75	7	0
08:47:43:161	OpenWrt4310	-40	3	0
08:47:43:161	TP-LINK_3G	-52	1	0
08:47:44:220	OpenWrt4310	-58	3	0
08:47:44:220	TP-LINK_3G	-65	1	0
08:47:51:157	SWSGP06	-86	7	0
08:47:51:157	welcome	-91	6	0
08:47:51:157	TP-LINK_3G	-63	1	0
08:47:51:157	OpenWrt4310	-63	3	0
08:47:59:161	SWSGP06	-77	7	0
08:47:59:161	TP-LINK_3G	-66	1	0
08:47:59:161	OpenWrt4310	-71	3	0
08:48:00:221	SWSGP06	-71	7	0
08:48:00:221	TP-LINK_3G	-68	1	0
08:48:00:221	OpenWrt4310	-73	3	0
08:48:01:302	SWSGP06	-74	7	0
08:48:01:302	S3GS_0611	-99	6	0
08:48:01:302	welcome	-97	6	0
08:48:01:302	TP-LINK_3G	-57	1	0
08:48:01:302	OpenWrt4310	-64	3	0
08:48:04:154	welcome	-97	6	0
08:48:04:154	TP-LINK_3G	-56	1	0
08:48:04:154	OpenWrt4310	-66	3	0
08:48:05:213	SWSGP06	-66	7	0
08:48:05:213	TP-LINK_3G	-50	1	0
08:48:05:213	OpenWrt4310	-54	3	0
08:48:06:458	SWSGP06	-62	7	0
08:48:06:458	S3GS_0611	-93	6	0
08:48:06:458	OpenWrt4310	-47	3	0
08:48:06:458	TP-LINK_3G	-51	1	0
08:48:07:520	SWSGP06	-56	7	0
08:48:07:520	S3GS_0611	-93	6	0
08:48:07:520	OpenWrt4310	-33	3	0
08:48:07:520	TP-LINK_3G	-45	1	0
08:48:15:154	SWSGP06	-58	7	0
08:48:15:154	S3GS_0611	-90	6	0
08:48:15:154	TP-LINK_3G	-54	1	0
08:48:15:154	OpenWrt4310	-58	3	0
08:48:23:156	SWSGP06	-58	7	0
08:48:23:156	S3GS_0611	-98	6	0
08:48:23:156	TP-LINK_3G	-54	1	0
08:48:23:156	OpenWrt4310	-68	3	0
08:48:24:217	SWSGP06	-51	7	0
08:48:24:217	S3GS_0611	-96	6	0
08:48:24:217	TP-LINK_3G	-47	1	0
08:48:24:217	OpenWrt4310	-56	3	0
08:48:25:463	SWSGP06	-53	7	0
08:48:25:463	S3GS_0611	-94	6	0
08:48:25:463	TP-LINK_3G	-50	1	0
08:48:25:463	OpenWrt4310	-52	3	0
08:48:26:523	SWSGP06	-55	7	0
08:48:26:523	S3GS_0611	-93	6	0
08:48:26:523	OpenWrt4310	-49	3	0
08:48:26:523	TP-LINK_3G	-56	1	0
08:48:31:156	SWSGP06	-62	7	0
08:48:31:156	S3GS_0611	-92	6	0
08:48:31:156	TP-LINK_3G	-51	1	0
08:48:31:156	OpenWrt4310	-55	3	0
08:48:39:156	SWSGP06	-49	7	0
08:48:39:156	S3GS_0611	-90	6	0
08:48:39:156	OpenWrt4310	-49	3	0
08:48:39:156	TP-LINK_3G	-56	1	0
08:48:40:216	TP-LINK_3G	-63	1	0
08:48:40:216	OpenWrt4310	-63	3	0
08:48:46:154	SWSGP06	-73	7	0
08:48:46:154	S3GS_0611	-97	6	0
08:48:46:154	OpenWrt4310	-63	3	0
08:48:46:154	TP-LINK_3G	-65	1	0
08:48:47:227	SWSGP06	-71	7	0
08:48:47:227	belkin.ea4	-99	1	0
08:48:47:227	TP-LINK_3G	-60	1	0
08:48:47:227	OpenWrt4310	-66	3	0
08:48:48:287	SWSGP06	-69	7	0
08:48:48:287	TP-LINK_3G	-60	1	0
08:48:48:287	OpenWrt4310	-69	3	0
08:48:49:347	SWSGP06	-92	7	0
08:48:49:347	TP-LINK_3G	-60	1	0
08:48:49:347	OpenWrt4310	-69	3	0
08:48:55:154	SWSGP06	-71	7	0
08:48:55:154	OpenWrt4310	-64	3	0
08:48:55:154	TP-LINK_3G	-67	1	0
08:48:56:213	SWSGP06	-69	7	0
08:48:56:213	S3GS_0611	-98	6	0
08:48:56:213	OpenWrt4310	-58	3	0
08:48:56:213	TP-LINK_3G	-65	1	0
08:48:57:274	SWSGP06	-82	7	0
08:48:57:274	S3GS_0611	-98	6	0
08:48:57:274	OpenWrt4310	-54	3	0
08:48:57:274	TP-LINK_3G	-62	1	0
08:49:03:158	SWSGP06	-82	7	0
08:49:03:158	S3GS_0611	-96	6	0
08:49:03:158	OpenWrt4310	-53	3	0
08:49:03:158	TP-LINK_3G	-61	1	0
08:49:07:154	SWSGP06	-76	7	0
08:49:07:154	S3GS_0611	-95	6	0
08:49:07:154	TP-LINK_3G	-42	1	0
08:49:07:154	OpenWrt4310	-54	3	0
08:49:08:212	SWSGP06	-56	7	0
08:49:08:212	S3GS_0611	-99	6	0
08:49:08:212	TP-LINK_3G	-58	1	0
08:49:08:212	OpenWrt4310	-63	3	0
08:49:09:289	SWSGP06	-61	7	0
08:49:09:289	S3GS_0611	-97	6	0
08:49:09:289	TP-LINK_3G	-66	1	0
08:49:09:289	OpenWrt4310	-68	3	0
08:49:10:504	SWSGP06	-62	7	0
08:49:10:504	TP-LINK_3G	-58	1	0
08:49:10:504	OpenWrt4310	-67	3	0
08:49:11:562	SWSGP06	-65	7	0
08:49:11:562	TP-LINK_3G	-72	1	0
08:49:11:562	OpenWrt4310	-72	3	0
08:49:19:161	TP-LINK_3G	-62	1	0
08:49:19:161	OpenWrt4310	-71	3	0
08:49:27:154	SWSGP06	-59	7	0
08:49:27:154	S3GS_0611	-97	6	0
08:49:27:154	TP-LINK_3G	-47	1	0
08:49:27:154	OpenWrt4310	-61	3	0
08:49:28:213	SWSGP06	-57	7	0
08:49:28:213	S3GS_0611	-92	6	0
08:49:28:213	TP-LINK_3G	-57	1	0
08:49:28:213	OpenWrt4310	-57	3	0
08:49:29:288	SWSGP06	-59	7	0
08:49:29:288	S3GS_0611	-92	6	0
08:49:29:288	TP-LINK_3G	-56	1	0
08:49:29:288	OpenWrt4310	-61	3	0
